"","Commune","Code.Insee"
"400","RIMSDORF",67401
"401","RINGELDORF",67402
"402","RINGENDORF",67403
"403","RITTERSHOFFEN",67404
"404","ROESCHWOOG",67405
"405","ROHR",67406
"406","ROHRWILLER",67407
"407","ROMANSWILLER",67408
"408","ROPPENHEIM",67409
"409","ROSENWILLER",67410
"410","ROSHEIM",67411
"411","ROSSFELD",67412
"412","ROSTEIG",67413
"413","ROTHAU",67414
"414","ROTHBACH",67415
"415","ROTT",67416
"416","ROTTELSHEIM",67417
"417","ROUNTZENHEIM",67418
"418","RUMERSHEIM",67419
"419","RUSS",67420
"420","SAALES",67421
"421","SAASENHEIM",67422
"422","SAESSOLSHEIM",67423
"423","SAINT JEAN LES SAVERNE",67425
"424","SAINT MARTIN",67426
"425","SAINT MAURICE",67427
"426","SAINT NABOR",67428
"427","SAINT PIERRE",67429
"428","SAINT PIERRE BOIS",67430
"429","SAINT BLAISE LA ROCHE",67424
"430","SALENTHAL",67431
"431","SALMBACH",67432
"432","SAND",67433
"433","SARRE UNION",67434
"434","SARREWERDEN",67435
"435","SAULXURES",67436
"436","SAVERNE",67437
"437","SCHAEFFERSHEIM",67438
"438","SCHAFFHOUSE PRES SELTZ",67440
"439","SCHAFFHOUSE SUR ZORN",67439
"440","SCHALKENDORF",67441
"441","SCHARRACHBERGHEIM IRMSTET",67442
"442","SCHEIBENHARD",67443
"443","SCHERLENHEIM",67444
"444","SCHERWILLER",67445
"445","SCHILLERSDORF",67446
"446","SCHIRMECK",67448
"447","SCHIRRHEIN",67449
"448","SCHIRRHOFFEN",67450
"449","SCHLEITHAL",67451
"450","SCHNERSHEIM",67452
"451","SCHOENAU",67453
"452","SCHOENBOURG",67454
"453","SCHOENENBOURG",67455
"454","SCHOPPERTEN",67456
"455","SCHWABWILLER",67390
"456","SCHWEIGHOUSE SUR MODER",67458
"457","SCHWENHEIM",67459
"458","SCHWINDRATZHEIM",67460
"459","SCHWOBSHEIM",67461
"460","SEEBACH",67927
"461","SELESTAT",67462
"462","SELTZ",67463
"463","SERMERSHEIM",67464
"464","SESSENHEIM",67465
"465","SIEGEN",67466
"466","SIEWILLER",67467
"467","SILTZHEIM",67468
"468","SINGRIST",67469
"469","SOLBACH",67470
"470","SOUFFLENHEIM",67472
"471","SOULTZ LES BAINS",67473
"472","SOULTZ SOUS FORETS",67474
"473","SPARSBACH",67475
"474","STATTMATTEN",67476
"475","STEIGE",67477
"476","STEINBOURG",67478
"477","STEINSELTZ",67479
"478","STILL",67480
"479","STOTZHEIM",67481
"480","STRUTH",67483
"481","STUNDWILLER",67484
"482","STUTZHEIM",67485
"483","SUNDHOUSE",67486
"484","SURBOURG",67487
"485","THAL DRULINGEN",67488
"486","THAL MARMOUTIER",67489
"487","THANVILLE",67490
"488","TIEFFENBACH",67491
"489","TRAENHEIM",67492
"490","TRIEMBACH AU VAL",67493
"491","TRIMBACH",67494
"492","TRUCHTERSHEIM",67495
"493","UBERACH",67496
"494","UHLWILLER",67497
"495","UHRWILLER",67498
"496","URBEIS",67499
"497","URMATT",67500
"498","UTTENHEIM",67501
"499","UTTENHOFFEN",67502
"500","UTTWILLER",67503
"501","VALFF",67504
"502","VENDENHEIM",67506
"503","VILLE",67507
"504","VOELLERDINGEN",67508
"505","VOLKSBERG",67509
"506","WAHLENHEIM",67510
"507","WALBOURG",67511
"508","WALDERSBACH",67513
"509","WALDHAMBACH",67514
"510","WALDOLWISHEIM",67515
"511","WALTENHEIM SUR ZORN",67516
"512","WANGEN",67517
"513","WANGENBOURG",67518
"514","WANGENBOURG ENGENTHAL",67122
"515","WASSELONNE",67520
"516","WEINBOURG",67521
"517","WEISLINGEN",67522
"518","WEITBRUCH",67523
"519","WEITERSWILLER",67524
"520","WESTHOFFEN",67525
"521","WESTHOUSE",67526
"522","WESTHOUSE MARMOUTIER",67527
"523","WEYER",67528
"524","WEYERSHEIM",67529
"525","WICKERSHEIM WILSHAUSEN",67530
"526","WILDERSBACH",67531
"527","WILLGOTTHEIM",67532
"528","WILWISHEIM",67534
"529","WIMMENAU",67535
"530","WINDSTEIN",67536
"531","WINGEN",67537
"532","WINGEN SUR MODER",67538
"533","WINGERSHEIM",67539
"534","WINTERSHOUSE",67540
"535","WINTZENBACH",67541
"536","WINTZENHEIM KOCHERSBERG",67542
"537","WISCHES",67543
"538","WISSEMBOURG",67544
"539","WITTERNHEIM",67545
"540","WITTERSHEIM",67546
"541","WITTISHEIM",67547
"542","WIWERSHEIM",67548
"543","WOELLENHEIM",67549
"544","WOERTH",67550
"545","WOLFISHEIM",67551
"546","WOLFSKIRCHEN",67552
"547","WOLSCHHEIM",67553
"548","WOLXHEIM",67554
"549","ZEHNACKER",67555
"550","ZEINHEIM",67556
"551","ZELLWILLER",67557
"552","ZINSWILLER",67558
"553","ZITTERSHEIM",67559
"554","ZOEBERSDORF",67560
"555","ZOLLINGEN",67561
"556","ZUTZENDORF",67562
"558","COLMAR",68066
"559","MULHOUSE",68224
"560","PHALSBOURG",57540
"561","SARREBOURG",57630
"562","FORBACH",57227
"563","FREYMING MERLEBACH",57240
"564","SARREGUEMINES",57631
"565","SAINT AVOLD",57606
"566","METZ",57463
"567","NANCY",54395
"568","EPINAL",88160
"569","SAINT DIE DES VOSGES",88413
"570","BELFORT",90010
"571","MONTBELIARD",25388
"572","PARIS",75056
"574","BITCHE",57089
"576","SAINT-LOUIS",68300
"577","GERARDMER",88196
"578","GUEBWILLER",68112
"579","LYON",69123
"580","BORDEAUX",33063
"584","FOUDAY",67144
"585","SAINTE MARIE AUX MINES",68298
"629","VANDOEUVRE LES NANCY",54547
"771","MUNDOLSHEIM",67309
"7025","NEUGARTHEIM ITTLENHEIM",67318
"8720","OBERHOFFEN / WISSEMBOURG",67344
"8794","OBERMODERN ZUTZENDORF",67347
"8944","STUTZHEIM OFFENHEIM",67485
"10298","SAINT JEAN SAVERNE",67425
"12395","VESOUL",70550
"12429","DINSHEIM",67098
"12467","LE PLESSY ROBINSON",92060
"12475","CLAMART",92023
"12476","CRETEIL",94128
"12988","WIESVILLER",57745
"12990","WITTRING",57748
"13159","SARRALBE",57628
"13160","ACHEN",57006
"13248","FENETRANGE",57210
"13731","SCHWARZBACH",67934
"13861","REIMS",51454
"14646","SAINT HIPPOLYTE",68296
"15095","MARSEILLE",13055
"15150","THANN",68334
"15163","DABO",57163
"15165","VERDUN",55545
"15170","SAINT LOUIS",57618
"15174","BERLING",57064
"15176","BICKENHOLTZ",57080
"15179","BOURSCHEID",57100
"15180","BROUVILLER",57114
"15182","DANNE ET QUATRE VENTS",57168
"15185","FLEISHEIM",57216
"15186","GARREBOURG",57244
"15189","GUNTZVILLER",57280
"15190","HANGVILLER",57291
"15191","HASELBOURG",57300
"15193","HENRIDORFF",57315
"15194","HERANGE",57317
"15195","HOMMARTING",57333
"15196","HULTEHOUSE",57339
"15198","LIXHEIM",57407
"15199","METTING",57462
"15200","MITTELBRONN",57668
"15204","POSTROFF",57551
"15206","SAINT JEAN  KOURTZERODE",57614
"15209","SCHALBACH",57635
"15211","VECKERSVILLER",57703
"15212","VESCHEIM",57709
"15213","VILSBERG",57721
"15214","WALTEMBOURG",57743
"15222","WINTERSBOURG",57747
"15223","ZILLING",57761
"15226","ROUFFACH",68287
"15266","PROVENCHERES",88361
"15267","BAN DE LAVELINE",88032
"15268","SAINTE CROIX AUX MINES",68294
"15269","LIEPVRE",68185
"15270","ROMBACH LE FRANC",68283
"15271","LE BEULAY",88057
"15335","FORSTFELD",67140
"15377","BESANCON",25056
"15456","AUBURE",68014
"15629","SOUCHT",57658
"15634","MEISENTHAL",57456
"15954","ILLHAEUSERN",68153
"15959","SAINT  LOUIS",68297
"16276","KEFFENDORF",67359
